movieCd,movieNm,movieNmEn,showTm,prdtYear,openDt,prdtStatNm,typeNm,nationNm,genres_1,genres_2,directorNm,directorNmEn,actor1_Nm,actor1_NmEn,watchGradeNm,dist_companyCd,dist_companyNm,dist_companyNmEn
20199571,스킨,Skin,118.0,2018.0,20200319,개봉,장편,미국,드라마,,기 나티브,Guy Nattiv,제이미 벨,Jamie Bell,청소년관람불가,20111081.0,(주)스마일이엔티,Smile Ent.
20205361,레닌그라드 대공습,The Cry of Silence,96.0,2019.0,20200317,개봉,장편,러시아,액션,드라마,,,,,12세이상관람가,20112175.0,(주)소나무픽쳐스,Sonamu Pictures
20196867,러브돌: 위험한 사랑,,106.0,2018.0,20200303,개봉,장편,미국,드라마,판타지,프린스턴 홀트,Princeton Holt,딘 케인,Dean Cain,청소년관람불가,20139757.0,(주)엔케이컨텐츠,
20192448,하숙집 : 굶주린 늑대들,,86.0,2019.0,20200316,개봉,장편,한국,멜로/로맨스,,김종민,,,,청소년관람불가,20161021.0,(주)영화사가을,
20192864,바꿔 할래?,,60.0,2019.0,20200316,개봉,장편,한국,멜로/로맨스,,한대위,,,,청소년관람불가,20161021.0,(주)영화사가을,
20205964,올머스트다이,All Must Die,82.0,2019.0,20200312,개봉,장편,기타,공포(호러),,,,빅토리아 윙게,Viktoria Winge,청소년관람불가,20063233.0,(주)컴퍼니엘,
20193539,형수 : 금지된 사랑,,71.0,2019.0,20200311,개봉,장편,한국,멜로/로맨스,,김진우,,,,청소년관람불가,20161021.0,(주)영화사가을,
20206322,직장상사와 불륜,,69.0,2019.0,20200311,개봉,장편,일본,멜로/로맨스,드라마,아카바네 키쿠지로,,,,청소년관람불가,20114899.0,(주)영진크리에이티브,
20206321,잘 주는 유부녀들,,60.0,2019.0,20200311,개봉,장편,일본,멜로/로맨스,드라마,아카바네 키쿠지로,,,,청소년관람불가,20114899.0,(주)영진크리에이티브,
20206341,범해진 신부,,60.0,2018.0,20200311,개봉,장편,일본,멜로/로맨스,드라마,히이라기 엔부,,,,청소년관람불가,20114899.0,(주)영진크리에이티브,
20206263,동네 오빠들,,72.0,2020.0,20200312,개봉,장편,한국,드라마,,최정자,,,,청소년관람불가,20186981.0,주식회사 플릭스코,
20196828,걸즈 앤 판처 최종장,GIRLS und PANZER das FINALE Part1 and Part2(4DX version),99.0,2019.0,20200312,개봉,장편,일본,애니메이션,,미즈시마 츠토무,Mizushima Tsutomu,후치가미 마이,Mai Fuchigami,12세이상관람가,20158370.0,(주)디스테이션,
20196777,리암 갤러거,Liam Gallagher: As It Was,85.0,2019.0,20200312,개봉,장편,영국,다큐멘터리,,게빈 피츠제럴드,Gavin Fitzgerald,리암 갤러거,Liam Gallagher,15세이상관람가,20158370.0,(주)디스테이션,
20190066,우리 스와핑 할까?,,72.0,2019.0,20200309,개봉,장편,한국,멜로/로맨스,,한대위,,,,청소년관람불가,20161021.0,(주)영화사가을,
20205205,스콜피온: 대테러 진압 작전,Scorpion,92.0,2018.0,20200309,개봉,장편,우즈베키스탄,액션,,,,,,15세이상관람가,20112175.0,(주)소나무픽쳐스,Sonamu Pictures
20206161,친구엄마들:서로의 아들을 탐하다,,71.0,2017.0,20200307,개봉,장편,일본,멜로/로맨스,드라마,카와사키 군지,Gunji Kawasaki,,,청소년관람불가,20114899.0,(주)영진크리에이티브,
20206162,착한 며느리:시아버지의 마지막 부탁,,60.0,2017.0,20200307,개봉,장편,일본,멜로/로맨스,드라마,사카모토 후토시,Futoshi Sakamoto,,,청소년관람불가,20114899.0,(주)영진크리에이티브,
20206182,야한며느리:땡기는 날,,68.0,2019.0,20200307,개봉,장편,일본,멜로/로맨스,드라마,아카바네 키쿠지로,,,,청소년관람불가,20114899.0,(주)영진크리에이티브,
20206164,씨받이:돌아온 탕녀,,60.0,2019.0,20200307,개봉,장편,일본,멜로/로맨스,드라마,아카바네 키쿠지로,,,,청소년관람불가,20114899.0,(주)영진크리에이티브,
20206181,씨받는 유부녀들:뚫어주는 배관공,,60.0,2019.0,20200307,개봉,장편,일본,멜로/로맨스,드라마,아카바네 키쿠지로,,,,청소년관람불가,20114899.0,(주)영진크리에이티브,
20206163,섹스클럽:내아내가 다른남자와,,72.0,2019.0,20200307,개봉,장편,일본,멜로/로맨스,드라마,아카바네 키쿠지로,,,,청소년관람불가,20114899.0,(주)영진크리에이티브,
20204436,목공소에서 생긴 일,,75.0,2019.0,20200306,개봉,장편,한국,멜로/로맨스,드라마,노현진,,,,청소년관람불가,20123227.0,(주)나우콘텐츠,Now Contents
20190864,울프 콜,The Wolf's Call,115.0,2019.0,20200305,개봉,장편,프랑스,액션,스릴러,안토닌 보드리,Antonin Baudry,프랑수아 시빌,Francois Civil,15세이상관람가,20100285.0,판씨네마(주),Pancinema Corp.
20205242,프론테라스,Fronteras,105.0,2018.0,20200305,개봉,장편,미국,액션,스릴러,앤드류 댄,Andrew Deane,,,청소년관람불가,20139175.0,(주)무브먼트 픽쳐스,
20206001,악마의 오후,Midday Demons,84.0,2018.0,20200305,개봉,장편,이탈리아,공포(호러),,,,,,15세이상관람가,20063233.0,(주)컴퍼니엘,
20198980,친구 이모,,60.0,2019.0,20200304,개봉,장편,한국,멜로/로맨스,,김부곤,,,,청소년관람불가,20161021.0,(주)영화사가을,
20205701,젊은 형수-음란한 외도,,64.0,2018.0,20200304,개봉,장편,일본,멜로/로맨스,드라마,하라다 칸토나,,,,청소년관람불가,20114899.0,(주)영진크리에이티브,
20206050,거부하다 신음하는 여자,,73.0,2017.0,20200304,개봉,장편,일본,멜로/로맨스,드라마,카와사키 군지,Gunji Kawasaki,,,청소년관람불가,20114899.0,(주)영진크리에이티브,
