runTm,nation,genre,director,actor,is_adult,distributor,view,openMonth
110,1,1,박영훈,박건형,0,쇼이스트(주),1856761,4
133,1,1,윤종찬,장진영,0,코리아픽쳐스(주),496061,12
133,1,1,박광현,신하균,0,(주)쇼박스,6436900,8
94,1,12,넬슨 신,강희선,0,(주)영화사한결,72702,8
113,1,7,이명세,강동원,0,코리아픽쳐스(주),922680,9
114,1,1,윤태용,염정아,0,(주)쇼박스,207189,11
117,3,1,샹탈 애커만,실비 테스튀,1,(주)이모션픽처스,1896,12
100,3,2,루이스 리테리어,이연걸,0,(주)아펙스 엔터테인먼트,321208,9
97,3,1,크리스토퍼 파라티에,제라르 쥐노,0,(주)영화사한결,99342,3
134,3,1,장 피에르 주네,오드리 토투,0,워너브러더스 코리아(주),31214,3
132,2,1,클린트 이스트우드,힐러리 스웽크,0,(주)노바미디어,731154,3
109,1,2,최진원,김래원,1,롯데엔터테인먼트,1066103,11
119,1,1,이준익,감우성,0,(주)시네마서비스,10514177,12
121,3,2,진목승,성룡,0,(유)영화사 화수분,341510,1
142,3,1,최양일,기타노 다케시,1,(주)영화사 진진,9882,2
114,2,1,폴 맥기건,조쉬 하트넷,0,(주)에이앤비픽쳐스,144759,10
140,3,1,고레에다 히로카즈,키타우라 아유,0,(주)디스테이션,39622,4
120,2,1,프란시스 로렌스,키아누 리브스,0,워너브러더스 코리아(주),1736163,2
137,2,2,리들리 스콧,리암 니슨,0,이십세기폭스코리아(주),1237269,5
96,1,5,최석원,이동건,0,롯데엔터테인먼트,1174581,2
103,1,8,김용균,김혜수,0,(주)쇼박스,1073189,6
109,1,7,천세환,연정훈,0,CJ ENM,1014372,5
90,2,12,비키 젠슨,윌 스미스,0,CJ ENM,898316,1
114,1,3,임필성,박희순,0,(주)쇼박스,871235,5
111,1,2,손희창,김민준,0,롯데엔터테인먼트,828112,9
99,3,5,주성치,주성치,0,소니픽쳐스릴리징코리아,823559,1
98,1,1,공정식,하지원,0,CJ ENM,440850,1
120,1,5,오상훈,이인성,0,CJ ENM,1003026,2
107,1,5,추창민,김수미,0,CJ ENM,2636857,3
121,1,1,한재림,강혜정,1,CJ ENM,1524898,6
115,1,1,장진,차승원,0,(주)시네마서비스,2073641,8
106,1,8,원신연,방중현,0,CJ ENM,448161,8
118,1,7,이윤기,김지수,1,CJ ENM,14320,11
100,1,1,오석근,김지숙,1,CJ ENM,16665,12
115,1,7,정지우,김정은,0,(주)시네마서비스,135702,9
134,1,1,류승완,최민식,0,쇼이스트(주),1462972,4
105,1,7,허진호,배용준,1,쇼이스트(주),678916,9
149,1,1,강우석,설경구,0,(주)시네마서비스,3134424,1
104,1,2,김영준,신현준,0,CJ ENM,519722,11
117,1,1,정윤철,조승우,0,(주)쇼박스,4196859,1
107,1,1,유상욱,김민종,0,롯데엔터테인먼트,14323,9
106,1,11,방은진,엄정화,1,(주)시네마서비스,830538,10
122,1,1,윤종빈,서장원,0,영화사청어람(주),10790,11
95,1,1,이윤기,김꽃비,0,(주)쇼박스,41943,3
125,1,1,곽경택,김혜정,0,CJ ENM,3471150,12
93,1,1,전수일,추상미,0,무비즈엔터테인먼트(주),1334,4
186,2,1,피터 잭슨,잭 블랙,0,UIP코리아,3470059,12
102,1,5,조명남,감우성,0,(주)쇼박스,1305518,6
115,1,5,정용기,신현준,0,(주)쇼박스,4529876,9
107,1,5,유선동,공형진,0,(주)쇼박스,337772,9
98,1,7,김태은,성현아,1,(주)쇼박스,98639,12
101,1,5,이계벽,류승범,0,(주)쇼박스,1339833,10
111,1,5,박광춘,김원진,0,(주)쇼박스,1533225,3
106,1,2,민준기,박중훈,0,(주)쇼박스,933147,7
147,3,1,이와이 슌지,미카미 히로시,1,(주)튜브엔터테인먼트,9337,6
129,3,1,로만 폴란스키,벤 킹슬리,0,(주)시네마서비스,1189,12
53,1,3,윤준형,양아람,0,(주)동숭아트센터,1000,7
107,2,7,미셸 공드리,짐 캐리,0,(주)노바미디어,506609,11
107,1,1,정재은,김강우,0,쇼이스트(주),47935,6
106,1,5,이영은,이범수,0,쇼이스트(주),679352,8
119,3,12,다카하타 이사오,신초우 코콘데이,0,대원씨앤에이홀딩스,23587,4
122,3,2,당계례,김희선,0,씨네그루(주)다우기술,449232,10
95,1,1,전윤수,송혜교,0,아이러브시네마,237284,12
92,1,1,박흥식,김동영,0,쇼이스트(주),349118,11
125,3,1,알랭 레네,제라르 드빠르디유,0,(주)영화사 백두대간,2479,12
107,3,1,파올로 타비아니,오메로 안토누티,0,(주)영화사 백두대간,2079,8
88,3,1,마이클 윈터바텀,자멀 우딘 토라비,0,(주)영화사 백두대간,8316,7
94,1,8,이우철,성현아,0,(주)튜브엔터테인먼트,158318,8
100,1,1,박철수,서정,1,(주)미로비젼,11022,6
100,1,5,오기환,손예진,0,(주)쇼박스,1853623,12
118,3,2,서극,견자단,0,(주)튜브엔터테인먼트,285195,9
106,1,1,임경수,신은경,0,(주)쇼박스,593867,12
108,1,1,권종관,신민아,0,롯데엔터테인먼트,902077,10
123,1,1,황병국,정재영,0,롯데엔터테인먼트,632553,11
110,3,1,마누엘 데 올리베이라,리타 블랑코,0,(주)이모션픽처스,1222,6
118,2,2,앤드류 니콜,에단 호크,0,미디어필름인터내셔날(주),103445,11
80,3,10,다니엘 고든,폴 니콜슨,0,(주)동숭아트센터,1902,8
116,2,1,스티븐 스필버그,톰 크루즈,0,UIP코리아,2643153,7
121,3,1,세드릭 칸,소피 귀레민,1,(주)영화사 백두대간,9777,6
112,3,1,릴리아나 카바니,존 말코비치,0,스폰지,4059,10
128,3,7,훌리오 메뎀,파즈 베가,1,스폰지,3137,9
103,3,1,토가시 신,히사노 마사히로,0,(주)인디스토리,1440,5
87,1,2,김진성,권민기,0,(주)스폰지이엔티,1894,9
96,1,1,구성주,고두심,0,영화사청어람(주),161780,4
89,1,1,홍상수,김상경,1,영화사청어람(주),39555,5
108,3,1,펜엑 라타나루앙,아사노 타다노부,0,(주)영화랑,4929,9
125,3,12,오토모 가츠히로,코니시 마나미,0,대원씨앤에이홀딩스,58693,8
113,3,1,이상일,츠마부키 사토시,0,스폰지,14778,3
90,2,5,카를로스 살다나,할리 베리,0,이십세기폭스코리아(주),623723,7
85,2,1,그레그 마크스,힐러리 스웽크,0,(주)쇼박스,228934,6
122,3,1,세르지오 카스텔리토,페넬로페 크루즈,1,(주)아펙스 엔터테인먼트,3775,10
102,1,1,김호준,김혜성,0,쇼이스트(주),216516,2
105,2,5,짐 자무시,빌 머레이,1,스폰지,19419,12
100,2,11,리 타마호리,사무엘 L. 잭슨,0,소니픽쳐스릴리징코리아,465276,4
117,2,1,대니 캐넌,스티븐 딜레인,0,브에나비스타인터내셔널코리아,10926,11
118,2,1,테리 길리엄,히스 레저,0,쇼이스트(주),723385,11
101,2,5,노라 에프론,니콜 키드먼,0,소니픽쳐스릴리징코리아,234899,8
92,3,8,시미즈 다카시,사라 미셀 겔러,0,(주)튜브엔터테인먼트,553014,5
97,3,1,바흐만 고바디,아바즈 라티프,0,CJ ENM,13731,4
105,2,5,케빈 로드니 설리반,애쉬튼 커처,0,이십세기폭스코리아(주),123103,9
125,2,11,프랭크 밀러,미키 루크,1,쇼이스트(주),311066,6
118,3,1,파브리지오 코스타,올리비아 핫세,0,미디어필름인터내셔날(주),60460,1
78,3,1,골람 레자 라메자니,메흐다드 하사니,0,(주)영화사한결,16520,11
152,2,1,테일러 핵포드,케리 워싱턴,0,UIP코리아,214630,2
84,3,12,닉 파크,랄프 파인즈,0,CJ ENM,351449,11
72,1,12,이애림,백현주,0,영화사청어람(주),5906,9
115,2,2,존 파스킨,산드라 블록,0,워너브러더스 코리아(주),139358,4
118,2,7,앤디 테넌트,윌 스미스,0,소니픽쳐스릴리징코리아,607754,3
122,1,5,박흥식,정준호,0,(주)시네마서비스,510290,4
86,1,5,정창욱,김시덕,0,CJ ENM,9750,8
108,2,5,우디 알렌,우디 앨런,0,(주)동숭아트센터,9300,2
111,2,5,우디 알렌,테이어 레오니,0,(주)영화사 백두대간,7799,9
104,1,8,최익환,김옥빈,0,(주)시네마서비스,397327,7
131,3,1,한스 바인가르트너,줄리아 옌체,0,스폰지,2232,5
103,3,1,나카시마 테츠야,후카다 쿄코,0,CJ ENM,18782,9
117,3,1,비토리오 타비아니,클라우디오 비가글리,0,(주)영화사 백두대간,2637,8
83,1,1,황규덕,박태용,0,스폰지,4504,1
80,1,1,안슬기,김도균,0,(사)한국독립영화협회,2667,11
114,2,5,팀 버튼,프레디 하이모어,0,워너브러더스 코리아(주),1282348,9
92,1,11,이인수,안재모,0,미디어라인코리아,2534,9
115,2,5,주드 아패토우,캐서린 키너,1,UIP코리아,50339,11
109,2,8,나카타 히데오,사이먼 베이커,0,CJ ENM,183318,6
101,2,5,로버트 루게틱,제인 폰다,0,(주)튜브엔터테인먼트,109414,10
79,2,1,크리스 켄티스,블랜차드 라이언,0,CJ ENM,50611,8
110,3,2,프라챠 핀카엡,토니 자,0,(주)쇼박스,341968,8
105,2,2,팀 스토리,제시카 알바,0,이십세기폭스코리아(주),564263,8
