movieCd,movieNm,openDt
20050249,날 미치게하는 남자,20051007
20050260,나이트 워치,20051208
20050338,"나니아 연대기-사자,마녀 그리고 옷장",20051229
20050229,4 브라더스,20051014
20050102,활,20050512
20050158,사냥꾼,20050708
20050170,소녀,20050708
20050140,마다가스카,20050714
20050156,대결,20050708
20050136,프리즈 프레임,20050707
20050130,어썰트 13,20050707
20050131,아미티빌 호러,20050701
20050129,셔터,20050630
20050132,마더,20050624
20050115,사하라,20050624
20050120,피크닉,20050623
20050113,미스터 & 미세스 스미스,20050616
20040638,텍사스 전기톱 연쇄살인사건,20050616
20050126,패시파이어,20050603
20050085,스타워즈 에피소드3 - 시스의복수,20050526
20050116,인투 더 썬,20050520
20050101,하우스 오브 왁스,20050520
20050092,"우리, 사랑일까요?",20050520
20050081,추방된 사람들,20050520
20050105,세컨핸드 라이온스,20050519
20050090,아라가미,20050513
20050061,코치 카터,20050513
20050079,"하와이, 오슬로",20050507
20050073,알츠하이머 케이스,20050430
20050094,소녀 검객 아즈미 대혈전 2,20050429
20050080,모래와 안개의 집,20050429
20050071,카트 레이서,20050429
20050075,스팽글리쉬,20050422
20050069,인터프리터,20050422
20050060,어바웃 러브,20050421
20050068,퍼펙트 크라임,20050416
20050059,실비아,20050415
20050034,미트 페어런츠2,20050415
20040687,아나콘다2 : 사라지지 않는 저주,20050415
20050058,화이트 노이즈,20050408
20050030,쿨,20050408
20040754,블랙아웃,20050407
20050057,더티댄싱2,20050401
20050053,800 블렛,20050325
20040741,래더 49,20050325
20040702,윔블던,20050325
20050037,호스티지,20050318
20050050,서스펙트 제로,20050317
20050043,스파이더,20050311
20050032,바이브레이터,20050304
20050044,언더 서스피션,20050302
20050004,네버랜드를 찾아서,20050225
20050016,나인 야드 2,20050224
20050023,사이드웨이,20050218
20040749,에비에이터,20050218
20040781,피닉스,20050204
20050019,텐 미니츠 - 첼로,20050128
20040779,레모니 스니켓의 위험한 대결,20050128
20050024,레이징 헬렌,20050127
20040792,큐브 제로,20050121
20040791,엘렉트라,20050121
20040777,베니티 페어,20050121
20040713,"나를 책임져, 알피",20050121
20050006,리컨스트럭션,20050120
20040705,월드 오브 투모로우,20050114
20048204,클리어링,20050107
20048103,오션스 트웰브,20050107
20050328,"안녕, 사요나라",20051125
20050175,더 로드,20050901
20050217,에밀과 탐정들,20050901
20050100,프락치,20050520
20050124,제5회프랑스영화제 15편(2005.5.25_6.12),20050526
20050267,제2회 메가박스 일본영화제[2005.11.10-11.24],20051110
20050166,2005년 미장센 단편영화제 ,20050623
20050337,서울독립영화제2005 ,20051209
20050266,제6회 서울유럽영화제[2005.10.26-10.30],20051026
20050294,CJ 아시아인디영화제[2005.11.3-11.8],20051103
20050243,제2회 서울환경영화제[2005.9.8-9.14],20050908
20060250,귀향,20060921
20060365,수면의 과학,20061221
20060386,황혼의 빛,20061214
20060277,타짜,20060928
20050355,음란서생,20060223
20060387,미녀는 괴로워,20061214
20060077,연리지,20060413
20060229,아이스케키,20060824
20060272,구미호 가족,20060928
20050344,여교수의 은밀한 매력,20060316
20060100,사생결단,20060427
20050313,아치와 씨팍,20060628
20060147,한반도,20060713
20060284,라디오 스타,20060928
20060008,더 차일드,20060127
20060061,히든,20060330
20060314,보리밭을 흔드는 바람,20061102
20060123,가족의 탄생,20060518
20060384,고마운 사람,20060113
20060247,해변의 여인,20060831
20060151,괴물,20060727
20060134,짝패,20060525
20060347,판의 미로 - 오필리아와 세 개의 열쇠,20061130
20060089,식스틴블럭,20060420
20060114,퍼펙트 스트레인저,20060504
20060040,브로크백 마운틴,20060301
20060368,방문자,20061115
20060050,무인 곽원갑,20060323
20060334,스텝 업,20061123
20060255,호텔 르완다,20060907
20050362,게이샤의 추억,20060202
20060062,망종,20060324
20060013,타임 투 리브,20060209
20060388,위대한 탄생,20061221
20060201,커피와 담배,20060727
20060137,비열한 거리,20060615
20060264,악마는 프라다를 입는다,20061025
20060210,스승의 은혜,20060803
20060157,아랑,20060628
20060333,다케시즈,20061207
20060082,매치 포인트,20060413
20060104,노스 컨츄리,20060427
20060301,데스노트,20061102
20060228,시간,20060824
20060373,조용한 세상,20061214
20060244,우리들의 행복한 시간,20060914
20060070,구타유발자들,20060531
20060088,마이 캡틴 김대출,20060420
20060292,거룩한 계보,20061019
20060261,열혈남아,20061109
20060352,누가 그녀와 잤을까?,20061116
20060273,삼거리극장,20061123
20060339,사랑할 때 이야기하는 것들,20061130
20060019,구세주,20060216
20060225,예의없는 것들,20060824
20050363,투사부일체,20060119
20050354,사랑을 놓치다,20060126
20060025,손님은 왕이다,20060223
20060046,방과후 옥상,20060316
20060047,로망스,20060316
20060055,"모두들, 괜찮아요?",20060324
20060068,"달콤, 살벌한 연인",20060406
20060081,피터팬의 공식,20060413
20060085,도마뱀,20060427
20060093,국경의 남쪽,20060504
20060207,2월 29일 - 어느날 갑자기 첫번째 이야기,20060721
20060208,네번째 층 - 어느날 갑자기 두번째 이야기,20060727
20060191,플라이 대디,20060803
20060227,D-day-어느날 갑자기 세번째 이야기,20060803
20060248,죽음의 숲-어느날 갑자기 네번째 이야기,20060817
20060242,"연애, 그 참을 수 없는 가벼움",20060907
20060234,"두뇌유희프로젝트, 퍼즐",20060914
20061252,배낭을 멘 소년 ,20060113
20060363,디어 평양,20061123
20050346,싸움의 기술,20060105
20060021,다섯번째 계절,20060209
20060222,천하장사 마돈나,20060831
20060356,싸이보그지만 괜찮아,20061207
20060015,백만장자의 첫사랑,20060209
20060083,내 곁에 있어줘,20060427
20060316,사랑 따윈 필요 없어,20061109
20060214,각설탕,20060810
20050349,홀리데이,20060119
20060160,아파트,20060706
20060344,아주 특별한 손님,20061130
20050353,퍼햅스 러브,20060105
20060288,가을로,20061026
20060353,해바라기,20061123
20060338,그해 여름,20061130
20060218,다세포소녀,20060810
20060265,브레인웨이브,20060831
20060005,맨발의 기봉이,20060426
20060257,가문의 부활 - 가문의 영광3,20060921
20060112,공필두,20060511
20060279,마음이...,20061026
20060224,신데렐라,20060817
20050345,야수,20060112
20060357,조폭마누라3,20061228
20060051,청춘만화,20060323
20060124,호로비츠를 위하여,20060525
20060033,오만과 편견,20060324
20060166,이웃집 야마다군,20060608
20060212,게드전기 : 어스시의 전설,20060810
20060069,마법사들,20060330
20060278,DOA,20061019
20060106,나그네와 마술사,20060428
20060204,포켓몬 레인저와 바다의 왕자 마나피,20060720
20060056,원초적 본능 2,20060330
20060211,라스트 키스,20060706
20061251,남자니까 아시잖아요?,20060113
20050312,눈부신 하루,20060223
20060017,흡혈형사 나도열,20060209
20060231,뚝방전설,20060907
20060245,원탁의 천사,20060824
20060004,서울공략,20060120
20050350,데이지,20060309
20060164,착신아리 파이널,20060622
20060370,중천,20061221
20060200,내 청춘에게 고함,20060713
20060159,"세가지 사랑, 정사",20060803
20060221,기묘한 서커스,20061019
20060341,후회하지 않아,20061116
20060243,사이에서,20060907
20060219,마이애미 바이스,20060817
20060183,스카우트맨,20060714
20060416,줌,20061228
20008512,파라노이드,20060228
20060311,어느 멋진 순간,20061116
20050262,천상의 소녀,20060202
20060022,가부와 메이 이야기,20060209
20060132,친밀한 타인들,20060525
20060176,양아치어조,20060623
20060028,신성일의 행방불명,20060216
20060298,8월의 일요일들,20060929
20060020,스테이션 에이전트,20060127
20060286,노이 알비노이,20060929
20060312,세르쥬노박의 겨울여행 ,20061130
20060295,쓰레기 시인,20060921
20060115,라이 위드 미,20060505
20060241,일본침몰,20060831
20060275,아워 뮤직,20060907
20060343,무지개 여신,20061130
20060049,굿나잇 앤 굿럭,20060316
20060119,개구리중사 케로로,20060504
20060271,금발의 초원,20060928
20060267,글래스톤베리,20060914
20058467,갱스터 초치,20060615
20060310,그루지 2,20061116
20060309,그녀는 날 싫어해,20061102
20060223,겁나는 여친의 완벽한 비밀,20060817
20060194,가필드 2,20060727
20060209,고래와 창녀,20060713
20060102,꿈꾸는 카메라,20060421
20060138,강적,20060622
20060155,이온 플럭스,20060622
20060379,"굿모닝, 나잇",20061201
20060198,호박전,20060622
20060235,불편한 진실,20060914
20060294,몽골리안 핑퐁,20060921
20060185,유레루,20060810
20060086,와일드,20060420
20060105,라스트 데이즈,20060427
20060236,폭력써클,20061019
20060355,세번째 시선,20061123
20050356,다섯 개의 시선,20060113
20060173,패스트 앤 퓨리어스 도쿄 드리프트,20060720
20060090,아이스 에이지 2,20060420
20060252,탄생,20060821
20060018,빨간모자의 진실,20060406
20060220,"사랑하니까, 괜찮아",20060817
20060276,무도리,20060921
20060125,"생, 날선생",20060525
20050308,카리스마 탈출기,20060330
20060296,택시 운전수의 사랑,20060922
20060396,올드미스다이어리,20061221
20050357,"온 더 로드, 투",20060105
20060016,뮌헨,20060210
20060308,길,20061102
20060369,Mr.로빈 꼬시기,20061207
20060226,액스 취업에 관한 위험한 안내서,20060810
20060320,대통령을 죽여라,20061013
20060180,파이스토리,20060706
20060376,저스틴,20061215
20061250,언니가 이해하셔야 돼요,20060113
20060110,보이지 않는 물결,20060511
20060178,내 남자의 유통기한,20060629
20060393,비상,20061214
20060213,천리주단기,20060720
20060182,클림트,20060629
20060254,사랑의 찬가,20060907
20060006,메종 드 히미코,20060126
20060266,[팡테옹 뒤 시네마 프랑세]영화제(2006),20060831
20060136,엑스맨 : 최후의 전쟁,20060615
20060064,나나,20060330
20060249,리턴,20060901
20060281,가디언,20061102
20060043,이니셜 D,20060301
20060121,안소니 짐머,20060511
20060202,유실물,20060727
20060131,5x2,20060526
20060196,얼음왕국 : 북극의 여름이야기(다큐),20060713
20060285,셀룰러,20060911
20060336,트랜스아메리카,20061116
20060364,저스트 프렌드,20061207
20060084,"키리쿠, 키리쿠",20060504
20060381,제3회 롯데시네마 삼색아트필름전[2006.11.27-12.06],20061127
20060330,녹차의 맛,20061123
20060328,좋아해,20061116
20060322,박사가 사랑한 수식,20061109
20060307,울프 크릭,20061026
20060303,프레리 홈 컴패니언,20061019
20060239,빅 리버,20060817
20060174,소피 숄의 마지막 날들,20060622
20060153,오프사이드,20060608
20060133,히노키오,20060525
