movieCd,movieNm,showTm,nationNm,genres_1,directorNm,actor1_Nm,dist_companyNm,view,openMonth,is_adult
20040496,아홉살 인생,105.0,1,1,윤인호,윤범호,(주)시네마서비스,85312,03,0.0
20040519,히달고,135.0,2,2,조 존스톤,줄레이카 로빈슨,한국소니픽쳐스릴리징브에나비스타영화㈜,29703,03,0.0
20040513,내 생애 최고의 데이트,95.0,2,7,로버트 루케틱,조쉬 더하멜,CJ ENM,18401,03,0.0
20040509,모나리자 스마일,117.0,2,1,마이크 뉴웰,매기 질렌할,한국소니픽쳐스릴리징브에나비스타영화㈜,37280,03,0.0
20040495,아웃 오브 타임,105.0,2,3,칼 프랭클린,에바 멘데스,이십세기폭스필름코퍼레이션,5770,03,0.0
20040465,러브 미 이프 유 대어,93.0,3,7,얀 사뮤엘,마리옹 꼬띠아르,(주)엔터모드,11266,03,0.0
20040493,붙어야 산다,118.0,2,5,바비 패럴리,맷 데이먼,이십세기폭스필름코퍼레이션,4581,02,0.0
20040460,열두명의 웬수들,95.0,2,5,숀 레비,스티브 마틴,이십세기폭스필름코퍼레이션,13537,02,0.0
20040541,엄마는 여자를 좋아해,96.0,3,5,다니엘라 페허만,실비아 아바스칼,판씨네마(주),3911,04,0.0
20040658,썸,118.0,1,3,장윤현,고수,(주)시네마서비스,237763,10,0.0
20040445,곰이 되고 싶어요,75.0,3,1,야니크 하스트럽,오토 브랜덴버그,필름뱅크(주),3434,01,0.0
20030437,런어웨이,127.0,2,3,게리 플레더,더스틴 호프만,이십세기폭스필름코퍼레이션,23415,01,0.0
20040451,머나먼 사랑,127.0,2,1,마틴 캠벨,클라이브 오웬,UIP코리아,3698,02,0.0
20030206,베이직,98.0,2,2,존 맥티어난,사무엘 L. 잭슨,코리아픽쳐스(주),11646,02,0.0
20030436,브라더 베어,85.0,2,1,애론 블레이즈,제레미 슈어레즈,한국소니픽쳐스릴리징브에나비스타영화㈜,17184,01,0.0
20040467,사랑할 때 버려야 할 아까운 것들,128.0,2,5,낸시 마이어스,잭 니콜슨,워너브러더스 코리아(주),138609,02,0.0
20040694,완벽한 그녀에게 딱 한가지 없는 것,98.0,2,5,게리 위닉,제니퍼 가너,한국소니픽쳐스릴리징브에나비스타영화㈜,44359,11,0.0
20040631,터미널,128.0,2,1,스티븐 스필버그,톰 행크스,CJ ENM,986903,08,0.0
20050076,혈의 누,119.0,1,3,김대승,차승원,(주)시네마서비스,1926681,05,1.0
20050270,과거가 없는 남자,96.0,3,5,아키 카우리스마키,마르꾸 펠톨라,(주)영화랑,2642,10,0.0
20050162,카페 뤼미에르,108.0,3,1,허우 샤오시엔,히토토 요,(주)동숭아트센터,9358,10,0.0
20050017,달콤한 인생,120.0,1,2,김지운,이병헌,CJ ENM,1112950,04,1.0
20050232,내 생애 가장 아름다운 일주일,129.0,1,7,민규동,황정민,CJ ENM,2290717,10,0.0
20050123,에로스,108.0,3,1,왕가위,공리,스폰지,28835,06,1.0
20050045,"안녕, 형아",95.0,1,1,임태형,박원상,(주)시네마서비스,924019,05,0.0
20050292,광식이 동생 광태,104.0,1,5,김현석,김주혁,(주)엠케이픽처스 ,2024818,11,0.0
20040774,몽정기2,101.0,1,5,정초신,이지훈,롯데쇼핑㈜롯데엔터테인먼트,813164,01,0.0
20050007,그때 그 사람들,102.0,1,5,임상수,한석규,(주)엠케이픽처스 ,890602,02,0.0
20050118,릴리 슈슈의 모든 것,146.0,3,1,이와이 슌지,이치하라 하야토,(주)미디어캐슬,9947,06,0.0
20050310,해리 포터와 불의 잔,156.0,2,2,마이크 뉴웰,다니엘 래드클리프,워너브러더스 코리아(주),3499257,12,0.0
20040798,클로저,103.0,2,7,마이크 니콜스,나탈리 포트만,(주)스튜디오디에이치엘,248409,02,1.0
20050042,"지금, 만나러 갑니다",118.0,3,1,도이 노부히로,다케우치 유코,(주)디스테이션,180524,03,0.0
20040784,시티 오브 갓,129.0,2,1,카티아 런드,알렉산드레 로드리게즈,프리비젼엔터테인먼트,9352,11,1.0
20050112,배트맨 비긴즈,134.0,2,11,크리스토퍼 놀란,리암 니슨,워너브러더스 코리아(주),903202,06,0.0
20050239,너는 내 운명,121.0,1,7,박진표,전도연,CJ ENM,2701974,09,1.0
20050009,몽상가들,114.0,3,1,베르나르도 베르톨루치,에바 그린,찬란,42905,03,1.0
