runTm,nation,genre,director,actor,is_adult,distributor,view,openMonth
102.0,2,3,D.J. 카루소,에단 호크,1.0,워너브러더스 코리아(주),38736,04
111.0,3,1,츠츠미 유키히코,히로스에 료코,0.0,(주)스폰지이엔티,6185,04
133.0,3,2,후카사쿠 킨지,오시나리 슈고,0.0,(주)동아수출공사,6421,04
103.0,2,7,케빈 스미스,벤 애플렉,0.0,CJ ENM,91127,04
89.0,2,7,존 햄버그,제니퍼 애니스턴,0.0,UIP코리아,37807,04
93.0,2,5,마크 S. 워터스,제이미 리 커티스,0.0,한국소니픽쳐스릴리징브에나비스타영화㈜,2862,04
94.0,2,1,빌 우드러프,릴 로메오,0.0,UIP코리아,27330,03
105.0,1,1,윤인호,윤범호,0.0,(주)시네마서비스,85312,03
135.0,2,2,조 존스톤,줄레이카 로빈슨,0.0,한국소니픽쳐스릴리징브에나비스타영화㈜,29703,03
95.0,2,7,로버트 루케틱,조쉬 더하멜,0.0,CJ ENM,18401,03
117.0,2,1,마이크 뉴웰,매기 질렌할,0.0,한국소니픽쳐스릴리징브에나비스타영화㈜,37280,03
105.0,2,3,칼 프랭클린,에바 멘데스,0.0,이십세기폭스필름코퍼레이션,5770,03
93.0,3,7,얀 사뮤엘,마리옹 꼬띠아르,0.0,(주)엔터모드,11266,03
118.0,2,5,바비 패럴리,맷 데이먼,0.0,이십세기폭스필름코퍼레이션,4581,02
95.0,2,5,숀 레비,스티브 마틴,0.0,이십세기폭스필름코퍼레이션,13537,02
96.0,3,5,다니엘라 페허만,실비아 아바스칼,0.0,판씨네마(주),3911,04
118.0,1,3,장윤현,고수,0.0,(주)시네마서비스,237763,10
75.0,3,1,야니크 하스트럽,오토 브랜덴버그,0.0,필름뱅크(주),3434,01
127.0,2,3,게리 플레더,더스틴 호프만,0.0,이십세기폭스필름코퍼레이션,23415,01
127.0,2,1,마틴 캠벨,클라이브 오웬,0.0,UIP코리아,3698,02
98.0,2,2,존 맥티어난,사무엘 L. 잭슨,0.0,코리아픽쳐스(주),11646,02
85.0,2,1,애론 블레이즈,제레미 슈어레즈,0.0,한국소니픽쳐스릴리징브에나비스타영화㈜,17184,01
128.0,2,5,낸시 마이어스,잭 니콜슨,0.0,워너브러더스 코리아(주),138609,02
98.0,2,5,게리 위닉,제니퍼 가너,0.0,한국소니픽쳐스릴리징브에나비스타영화㈜,44359,11
128.0,2,1,스티븐 스필버그,톰 행크스,0.0,CJ ENM,986903,08
119.0,1,3,김대승,차승원,1.0,(주)시네마서비스,1926681,05
96.0,3,5,아키 카우리스마키,마르꾸 펠톨라,0.0,(주)영화랑,2642,10
108.0,3,1,허우 샤오시엔,히토토 요,0.0,(주)동숭아트센터,9358,10
120.0,1,2,김지운,이병헌,1.0,CJ ENM,1112950,04
129.0,1,7,민규동,황정민,0.0,CJ ENM,2290717,10
108.0,3,1,왕가위,공리,1.0,스폰지,28835,06
95.0,1,1,임태형,박원상,0.0,(주)시네마서비스,924019,05
104.0,1,5,김현석,김주혁,0.0,(주)엠케이픽처스 ,2024818,11
101.0,1,5,정초신,이지훈,0.0,롯데쇼핑㈜롯데엔터테인먼트,813164,01
102.0,1,5,임상수,한석규,0.0,(주)엠케이픽처스 ,890602,02
146.0,3,1,이와이 슌지,이치하라 하야토,0.0,(주)미디어캐슬,9947,06
